id;nombre;tipo_soporte;utm_x;utm_y;longitud;latitud;longitud2;latitud2
631;CPMV10241;PANEL EN PÓRTICO;443.436.640.072.163;4.479.495.929.257.240;-36671846;40464211255;-3,6671846;40,464211
1538;CPMV40002;PANEL EN BANDEROLA;44.410.595.030.154;4.483.773.114.879.520;-3659667455;40502787364;-3,6596675;40,502787
1539;CPMV43052;PANEL EN BANDEROLA;441.952.280.773.593;448.522.165.774.167;-3685216401;40515688484;-3,6852164;40,515688
1536;CPMV30462;PANEL EN BANDEROLA;440.531.701.734.721;4.476.662.047.509.980;-3701181585;40438479606;-3,7011816;40,43848
764;CPMV41281;PANEL EN BANDEROLA;441.172.769.134.597;4.469.976.777.731.380;-369300537;40378300922;-3,6930054;40,378301
1535;CPMV33152;PANEL EN BANDEROLA;441.350.189.571.151;4.476.929.388.040.760;-369155627;40440946061;-3,6915563;40,440946
1543;CPMV41241;PANEL EN BANDEROLA;442.240.386.600.766;4.469.356.181.919.910;-3680373074;40372784916;-3,6803731;40,372785
798;CPMV40001;PANEL EN PÓRTICO;443.228.865.406.176;4.482.717.316.142.330;-3669923621;40493216749;-3,6699236;40,493217
812;CPMV30901;PANEL EN BANDEROLA;443.377.243.284.815;447.308.026.217.136;-3667313522;40406411606;-3,6673135;40,406412
616;CPMV33151;PANEL EN BANDEROLA;441.905.053.782.733;4.481.265.498.828.550;-3685411052;40480046598;-3,6854111;40,480047
689;CPMV30461;PANEL EN BANDEROLA;443.608.517.323.643;4.477.123.829.801.600;-3664946693;40442853912;-3,6649467;40,442854
558;CPMV41451;PANEL EN BANDEROLA;439.734.794.940.108;4.471.355.433.832.790;-3710074399;40390617809;-3,7100744;40,390618
703;CPMV12181;PANEL EN BANDEROLA;437.295.584.520.565;4.477.350.448.964.960;-3739403156;4044444326;-3,7394032;40,44444
633;CPMV10332;PANEL EN PÓRTICO;443.695.046.919.075;4.478.598.493.804.500;-3664057183;40456144279;-3,6640572;40,456144
567;CPMV10671;PANEL EN PÓRTICO;444.005.510.750.409;4.475.269.777.220.420;-3660102438;40426178463;-3,6601024;40,426178
642;CPMV20061;PANEL EN PÓRTICO;442.849.584.718.053;4.481.075.271.361.200;-3674250958;40478398492;-3,674251;40,478398
806;CPMV20421;PANEL EN PÓRTICO;443.857.719.298.181;447.774.818.408.767;-3662063573;40448495275;-3,6620636;40,448495
808;CPMV40461;PANEL EN BANDEROLA;444.325.866.521.289;4.477.482.751.387.870;-3656519976;40446135606;-3,65652;40,446136
814;CPMV11082;PANEL EN PÓRTICO;442.659.860.552.371;4.471.599.735.142.660;-3675634156;40393025102;-3,6756342;40,393025
807;CPMV20422;PANEL EN PÓRTICO;443.866.765.975.528;4.477.802.688.000.850;-3661961713;40448986884;-3,6619617;40,448987
771;CPMV40753;PANEL EN BANDEROLA;444.396.343.937.972;4.474.341.165.737.620;-3655414112;40417839231;-3,6554141;40,417839
815;CPMV21321;PANEL EN PÓRTICO;441.117.483.594.364;4.470.708.246.622.440;-3693724201;40384886488;-3,6937242;40,384886
809;CPMV20562;PANEL EN PÓRTICO;444.065.378.224.164;4.476.349.458.981.500;-3659491733;40435908838;-3,6594917;40,435909
605;CPMV10812;PANEL EN PÓRTICO;443.875.715.430.096;4.473.895.196.385.530;-3661511155;40413786744;-3,6615112;40,413787
773;CPMV20962;PANEL EN BANDEROLA;443.405.213.369.681;4.472.552.616.012.590;-3666936992;40401660175;-3,666937;40,40166
761;CPMV10323;PANEL EN PÓRTICO;443.697.468.858.878;4.478.675.352.324.340;-3664035437;40456836822;-3,6640354;40,456837
632;CPMV10242;PANEL EN PÓRTICO;443.419.870.060.249;4.479.483.390.414.390;-3667381277;40464097157;-3,6673813;40,464097
810;CPMV20561;PANEL EN PÓRTICO;444.047.107.980.911;4.476.358.325.332.390;-3659707913;40435987482;-3,6597079;40,435987
593;CPMV21202;PANEL EN BANDEROLA;441.872.385.213.085;4.470.425.689.088.610;-3684805157;40382394062;-3,6848052;40,382394
800;CPMV20241;PANEL EN PÓRTICO;443.484.226.765.702;4.479.418.208.824.760;-3666616412;40463514351;-3,6666164;40,463514
635;CPMV10572;PANEL EN PÓRTICO;444.000.966.149.464;4.476.291.171.889.980;-3660245993;40435379423;-3,660246;40,435379
636;CPMV10571;PANEL EN PÓRTICO;444.020.108.562.512;4.476.293.837.133.730;-3660020547;40435404722;-3,6600205;40,435405
802;CPMV10331;PANEL EN PÓRTICO;443.725.645.903.174;447.860.369.583.774;-3663696785;40456193214;-3,6636968;40,456193
801;CPMV20242;PANEL EN PÓRTICO;443.503.130.485.606;4.479.425.712.789.790;-3666394121;40463583236;-3,6663941;40,463583
765;CPMV11991;PANEL EN PÓRTICO;437.675.325.299.876;4.475.484.370.228.680;-373474263;40427661467;-3,7347426;40,427661
563;CPMV11201;PANEL EN PÓRTICO;441.888.892.009.482;4.470.582.907.500.270;-3684625042;40383811525;-3,684625;40,383812
813;CPMV11081;PANEL EN PÓRTICO;442.652.032.732.449;4.471.607.507.852.660;-3675727085;40393094584;-3,6757271;40,393095
803;CPMV20351;PANEL EN PÓRTICO;443.762.851.942.491;4.478.458.125.709.720;-3663245111;40454884366;-3,6632451;40,454884
1542;CPMV41453;PANEL EN BANDEROLA;43.741.691.839.699;4.469.188.125.616.190;-3737169809;40370922779;-3,7371698;40,370923
1540;CPMV42352;PANEL EN BANDEROLA;434.004.437.463.597;4.479.418.299.631.800;-3778423605;40462816273;-3,7784236;40,462816
1541;CPMV41802;PANEL EN BANDEROLA;434.591.074.126.202;4.471.819.064.883.220;-377072288;40394406354;-3,7707229;40,394406
1544;CPMV40901;PANEL EN BANDEROLA;444.977.208.874.666;4.472.350.381.252.890;-3648395591;40399943686;-3,6483956;40,399944
565;CPMV20671;PANEL EN PÓRTICO;444.012.806.701.899;4.475.329.609.340.860;-3660021702;40426717954;-3,6600217;40,426718
671;CPMV13042;PANEL EN BANDEROLA;441.179.948.004.414;4.481.883.694.835.780;-3694022699;404855645;-3,6940227;40,4856
692;CPMV12342;PANEL EN BANDEROLA;436.864.262.555.267;447.884.971.245.783;-3744637916;40457916488;-3,7446379;40,457916
582;CPMV12951;PANEL EN BANDEROLA;440.335.521.177.715;448.151.842.549.877;-3703951075;40482213764;-3,7039511;40,482214
634;CPMV10412;PANEL EN PÓRTICO;443.792.759.982.249;44.778.479.193.701;-3662838391;4044938935;-3,6628384;40,44939
1500;CPMV41801;PANEL EN BANDEROLA;432.592.518.617.176;4.469.854.965.496.570;-3794062225;40376553741;-3,7940622;40,376554
595;CPMV11151;PANEL EN PÓRTICO;44.219.609.324.447;4.470.993.435.250.590;-36810433;40387531159;-3,6810433;40,387531
799;CPMV43201;PANEL EN BANDEROLA;444.254.556.313.029;4.481.553.383.495.440;-3657718425;40482801048;-3,6577184;40,482801
816;CPMV12701;PANEL EN BANDEROLA;437.888.215.025.768;4.480.470.159.927.400;-3732720738;40472591189;-3,7327207;40,472591
592;CPMV41282;PANEL EN BANDEROLA;441.070.642.632.461;446.889.444.947.587;-3694108319;4036854349;-3,6941083;40,36854
690;CPMV22701;PANEL EN BANDEROLA;437.854.825.657.626;4.480.498.329.836.030;-3733117355;40472842455;-3,7331174;40,472842
681;CPMV41452;PANEL EN BANDEROLA;438.867.407.182.233;4.469.056.161.201.960;-3720073057;40369841615;-3,7200731;40,369842
1537;CPMV40462;PANEL EN BANDEROLA;443.856.523.597.782;4.477.235.125.802.210;-3662032321;40443873307;-3,6620323;40,443873
549;CPMV10901;PANEL EN BANDEROLA;443.543.992.813.814;4.473.099.377.610.830;-3665350158;40406595133;-3,6653502;40,406595
702;CPMV21141;PANEL EN PÓRTICO;44.227.836.721.755;4.471.087.762.203.610;-3680082563;40388386614;-3,6800826;40,388387
591;CPMV41283;PANEL EN BANDEROLA;441.115.587.992.291;446.815.519.153.659;-3693510701;40361887008;-3,6935107;40,361887
691;CPMV22471;PANEL EN BANDEROLA;436.424.201.363.756;4.479.974.634.737.860;-3749940377;40468016583;-3,7499404;40,468017
706;CPMV12581;PANEL EN BANDEROLA;436.906.281.267.943;4.480.674.211.882.640;-3744323798;40474355341;-3,7443238;40,474355
708;CPMV22241;PANEL EN BANDEROLA;437.127.570.939.717;4.477.829.511.329.020;-3741431618;40448746133;-3,7414316;40,448746
